f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f jV1m jV1f jV2m jV2f 
10.00000 0.00000 -0.00000 0.24745 54.70651 0.21063 54.64082 0.10000 -0.00000 0.27136 -120.19941 0.00003 -119.91565 0.00001 -123.35511 
20417.95918 0.00000 -0.00000 0.26536 -2.61379 0.16283 -5.31430 0.10000 -0.00000 6.64263 -176.02250 0.00079 -176.00724 0.00528 -86.25157 
40825.91837 0.00000 -0.00000 0.26446 -1.31691 0.16145 -2.68897 0.10000 -0.00000 6.65638 -178.04669 0.00079 -178.03915 0.01058 -88.12235 
61233.87755 0.00000 -0.00000 0.26430 -0.87922 0.16119 -1.79671 0.10000 -0.00000 6.65893 -178.74053 0.00079 -178.73560 0.01587 -88.74776 
81641.83673 0.00000 -0.00000 0.26424 -0.65976 0.16110 -1.34861 0.10000 -0.00000 6.65982 -179.10063 0.00079 -179.09703 0.02117 -89.06069 
102049.79592 0.00000 -0.00000 0.26421 -0.52794 0.16106 -1.07930 0.10000 -0.00000 6.66023 -179.32711 0.00079 -179.32434 0.02646 -89.24850 
122457.75510 0.00000 -0.00000 0.26420 -0.44001 0.16104 -0.89960 0.10000 -0.00000 6.66045 -179.48676 0.00079 -179.48456 0.03175 -89.37373 
142865.71429 0.00000 -0.00000 0.26419 -0.37718 0.16103 -0.77119 0.10000 -0.00000 6.66058 -179.60820 0.00079 -179.60643 0.03704 -89.46318 
163273.67347 0.00000 -0.00000 0.26418 -0.33005 0.16102 -0.67484 0.10000 -0.00000 6.66066 -179.70577 0.00079 -179.70434 0.04234 -89.53028 
183681.63265 0.00000 -0.00000 0.26418 -0.29339 0.16101 -0.59989 0.10000 -0.00000 6.66071 -179.78742 0.00079 -179.78626 0.04763 -89.58246 
204089.59184 0.00000 -0.00000 0.26417 -0.26405 0.16101 -0.53993 0.10000 -0.00000 6.66074 -179.85793 0.00079 -179.85700 0.05292 -89.62422 
224497.55102 0.00000 -0.00000 0.26417 -0.24005 0.16100 -0.49086 0.10000 -0.00000 6.66076 -179.92033 0.00079 -179.91960 0.05821 -89.65838 
244905.51020 0.00000 -0.00000 0.26417 -0.22005 0.16100 -0.44996 0.10000 -0.00000 6.66077 -179.97665 0.00079 -179.97609 0.06351 -89.68685 
265313.46939 0.00000 -0.00000 0.26417 -0.20312 0.16100 -0.41536 0.10000 -0.00000 6.66078 179.97170 0.00079 179.97210 0.06880 -89.71094 
285721.42857 0.00000 -0.00000 0.26417 -0.18862 0.16100 -0.38569 0.10000 -0.00000 6.66077 179.92373 0.00079 179.92399 0.07409 -89.73158 
306129.38776 0.00000 -0.00000 0.26417 -0.17604 0.16100 -0.35998 0.10000 -0.00000 6.66077 179.87870 0.00079 179.87883 0.07938 -89.74948 
326537.34694 0.00000 -0.00000 0.26417 -0.16504 0.16099 -0.33749 0.10000 -0.00000 6.66076 179.83606 0.00079 179.83606 0.08467 -89.76514 
346945.30612 0.00000 -0.00000 0.26417 -0.15533 0.16099 -0.31764 0.10000 -0.00000 6.66075 179.79539 0.00079 179.79527 0.08997 -89.77896 
367353.26531 0.00000 -0.00000 0.26417 -0.14670 0.16099 -0.29999 0.10000 -0.00000 6.66074 179.75635 0.00079 179.75613 0.09526 -89.79124 
387761.22449 0.00000 -180.00000 0.26417 -0.13898 0.16099 -0.28420 0.10000 -0.00000 6.66072 179.71870 0.00079 179.71837 0.10055 -89.80223 
408169.18367 0.00000 -180.00000 0.26416 -0.13203 0.16099 -0.26999 0.10000 -0.00000 6.66070 179.68222 0.00079 179.68179 0.10584 -89.81212 
428577.14286 0.00000 -180.00000 0.26416 -0.12574 0.16099 -0.25714 0.10000 -0.00000 6.66068 179.64674 0.00079 179.64622 0.11113 -89.82107 
448985.10204 0.00000 -180.00000 0.26416 -0.12002 0.16099 -0.24545 0.10000 -0.00000 6.66066 179.61213 0.00079 179.61152 0.11643 -89.82920 
469393.06122 0.00000 -180.00000 0.26416 -0.11480 0.16099 -0.23478 0.10000 -0.00000 6.66064 179.57828 0.00079 179.57758 0.12172 -89.83663 
489801.02041 0.00000 -180.00000 0.26416 -0.11002 0.16099 -0.22499 0.10000 -0.00000 6.66061 179.54509 0.00079 179.54430 0.12701 -89.84344 
510208.97959 0.00000 -180.00000 0.26416 -0.10562 0.16099 -0.21599 0.10000 -0.00000 6.66059 179.51248 0.00079 179.51161 0.13230 -89.84970 
530616.93878 0.00000 -180.00000 0.26416 -0.10155 0.16099 -0.20768 0.10000 -0.00000 6.66056 179.48039 0.00079 179.47943 0.13759 -89.85549 
